Question,Answer,Age,Gender,Personality
I prefer quiet evenings at home rather than going out to parties.,1,45,0,Introversion
I enjoy spending time alone with my thoughts.,1,26,1,Introversion
I find large social gatherings overwhelming.,1,36,1,Introversion
I feel drained after spending too much time in social settings.,1,21,0,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,1,29,1,Introversion
I tend to listen more than I talk in social situations.,1,48,0,Introversion
I feel energized after spending time alone.,1,38,0,Introversion
I seek out opportunities to meet new people and try new experiences.,1,45,1,Introversion
I feel comfortable being the centre of attention in a group.,1,36,1,Introversion
I enjoy networking and meeting new people.,1,44,1,Introversion
I feel excited and energized in social situations.,1,33,0,Introversion
I often initiate conversations with strangers.,1,30,1,Introversion
I enjoy being part of a large group and participating in group activities.,1,42,1,Introversion
I prefer to work in a team rather than independently.,1,32,0,Introversion
I feel comfortable speaking in front of large audiences.,1,23,0,Introversion
I enjoy attending social events and parties.,1,41,1,Introversion
I prefer to think before I speak in social situations.,1,26,0,Introversion
I feel comfortable striking up conversations with people I do not know well.,1,49,1,Introversion
I enjoy participating in group discussions and brainstorming sessions.,1,48,0,Introversion
I feel energized by interacting with others.,1,47,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,1,22,1,Introversion
I find it easy to approach strangers and start conversations.,1,45,1,Introversion
I prefer activities that I can do alone rather than in a group.,1,24,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,1,48,0,Introversion
I prefer to observe rather than participate in group activities.,1,26,1,Introversion
"I trust my practical, hands-on experience more than abstract theories.",1,24,1,Sensing
I prefer to focus on details rather than seeing the big picture.,1,50,0,Sensing
I rely on facts and evidence when making decisions.,1,33,1,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,1,37,1,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,1,49,0,Sensing
"I prefer concrete, tangible information over abstract concepts.",1,33,0,Sensing
I enjoy activities that require careful attention to detail.,1,34,0,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,1,25,1,Sensing
I tend to notice small changes in my environment.,1,50,0,Sensing
I trust my senses to provide accurate information about the world.,1,22,1,Sensing
I enjoy using practical skills to solve problems.,1,35,1,Sensing
I focus on what is real and tangible rather than what could be.,1,37,1,Sensing
I prefer to stick to proven methods rather than trying new approaches.,1,47,0,Sensing
I trust my observations and experiences over theories and concepts.,1,39,0,Sensing
