count,dichotomy,text
1,I/E,I prefer quiet evenings at home rather than going out to parties.
2,I/E,I enjoy spending time alone with my thoughts.
3,I/E,I find large social gatherings overwhelming.
4,I/E,I feel drained after spending too much time in social settings.
5,I/E,I prefer deep conversations with a few close friends over small talk with many acquaintances.
6,I/E,I tend to listen more than I talk in social situations.
7,I/E,I feel energized after spending time alone.
8,I/E,I seek out opportunities to meet new people and try new experiences.
9,I/E,I feel comfortable being the centre of attention in a group.
10,I/E,I enjoy networking and meeting new people.
11,I/E,I feel excited and energized in social situations.
12,I/E,I often initiate conversations with strangers.
13,I/E,I enjoy being part of a large group and participating in group activities.
14,I/E,I prefer to work in a team rather than independently.
15,I/E,I feel comfortable speaking in front of large audiences.
16,I/E,I enjoy attending social events and parties.
17,I/E,I prefer to think before I speak in social situations.
18,I/E,I feel comfortable striking up conversations with people I do not know well.
19,I/E,I enjoy participating in group discussions and brainstorming sessions.
20,I/E,I feel energized by interacting with others.
21,I/E,I prefer to have a few close friends rather than many acquaintances.
22,I/E,I find it easy to approach strangers and start conversations.
23,I/E,I prefer activities that I can do alone rather than in a group.
24,I/E,I feel uncomfortable in situations where I do not know anyone.
25,I/E,I prefer to observe rather than participate in group activities.
26,S/N,"I trust my practical, hands-on experience more than abstract theories."
27,S/N,I prefer to focus on details rather than seeing the big picture.
28,S/N,I rely on facts and evidence when making decisions.
29,S/N,I prefer to follow a step-by-step approach rather than experimenting with new ideas.
30,S/N,I pay attention to the present moment rather than thinking about future possibilities.
31,S/N,"I prefer concrete, tangible information over abstract concepts."
32,S/N,I enjoy activities that require careful attention to detail.
33,S/N,I prefer to learn through hands-on experience rather than theoretical study.
34,S/N,I tend to notice small changes in my environment.
35,S/N,I trust my senses to provide accurate information about the world.
36,S/N,I enjoy using practical skills to solve problems.
37,S/N,I focus on what is real and tangible rather than what could be.
38,S/N,I prefer to stick to proven methods rather than trying new approaches.
39,S/N,I trust my observations and experiences over theories and concepts.
40,S/N,"I enjoy activities that engage my senses, like cooking or gardening."
41,S/N,I prefer to rely on established procedures rather than improvising.
42,S/N,I prefer to have all the facts before making a decision.
43,S/N,I tend to focus on specifics rather than generalities.
44,S/N,I am good at remembering details and specifics.
45,S/N,I trust my intuition to guide me in uncertain situations.
46,S/N,I enjoy brainstorming and exploring new possibilities.
47,S/N,I often have hunches or gut feelings about things.
48,S/N,I enjoy imagining future scenarios and possibilities.
49,S/N,I tend to see patterns and connections between seemingly unrelated things.
50,S/N,I prefer to explore multiple options rather than settling on one solution.
51,T/F,I value logic and reason over emotions when making decisions.
52,T/F,I tend to analyze situations objectively rather than considering how they make me feel.
53,T/F,I prefer to give feedback based on facts and evidence rather than emotions.
54,T/F,I believe it is important to maintain emotional detachment in professional settings.
55,T/F,I prioritize fairness and justice over empathy and compassion.
56,T/F,I tend to prioritize logical consistency over accommodating the feelings of others.
57,T/F,I prefer to solve problems using logical analysis rather than empathetic understanding.
58,T/F,I find it easier to express thoughts and ideas than emotions.
59,T/F,"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to."
60,T/F,I value efficiency and effectiveness over maintaining harmony in relationships.
61,T/F,I prefer to make decisions based on objective criteria rather than personal values.
62,T/F,I tend to focus on the task at hand rather than the emotional atmosphere of a situation.
63,T/F,I value honesty and transparency in relationships.
64,T/F,I believe in constructive criticism even if it may be perceived as harsh.
65,T/F,I prefer to keep my emotions private rather than sharing them with others.
66,T/F,I tend to rely on logic rather than intuition when solving problems.
67,T/F,I find it challenging to empathize with the emotions of others.
68,T/F,I believe in treating everyone fairly and equally.
69,T/F,I prefer to address conflicts rationally rather than emotionally.
70,T/F,I believe it is important to remain objective in decision-making.
71,T/F,I prioritize practical considerations over emotional ones.
72,T/F,I tend to suppress my emotions in favour of logical reasoning.
73,T/F,I find it easier to discuss ideas and concepts than personal feelings.
74,T/F,I prefer to rely on facts and evidence rather than intuition or gut feelings.
75,T/F,I believe in being straightforward in communication.
76,J/P,I prefer to plan rather than go with the flow.
77,J/P,I feel uncomfortable with uncertainty and prefer to have a clear plan.
78,J/P,I like to make decisions quickly rather than keeping my options open.
79,J/P,I feel stressed when things are left to the last minute.
80,J/P,I enjoy having a structured routine and sticking to a schedule.
81,J/P,I prefer to complete tasks before moving on to new ones.
82,J/P,I feel satisfied when I accomplish my goals on schedule.
83,J/P,I like to have a clear plan of action before starting a project.
84,J/P,I find it difficult to adapt to changes in plans.
85,J/P,I prefer to work on one task at a time rather than juggle multiple tasks.
86,J/P,I feel more comfortable when things are organized and predictable.
87,J/P,I enjoy setting goals and working towards achieving them.
88,J/P,I prefer to follow a set schedule rather than improvise.
89,J/P,I feel anxious when I have too many open-ended tasks.
90,J/P,I tend to stick to my plans even if unexpected opportunities arise.
91,J/P,I prefer to make decisions quickly rather than ponder all the possibilities.
92,J/P,I enjoy having a clear sense of direction and purpose.
93,J/P,I feel unsettled when plans change at the last minute.
94,J/P,I prefer to make lists and schedules to stay organized.
95,J/P,I feel satisfied when I can check items off my to-do list.
96,J/P,I find it difficult to relax until I have completed my tasks.
97,J/P,I prefer to have deadlines to motivate me to complete tasks.
98,J/P,I enjoy having a sense of closure and completion.
99,J/P,I feel more productive when I have a clear plan in place.
100,J/P,I prefer to stick to my plans rather than being spontaneous.

